Category,Transactions,Avg_Full_Price,Abs_Elasticity,Elasticity_Label,Max_Recommended_Discount_Pct,Recommendation
CERAMIC,7052,3.08,41.524,Highly Elastic,25,Discount actively — high volume response
AREA,830,2.39,41.346,Highly Elastic,25,Discount actively — high volume response
VANILLA,524,2.97,41.329,Highly Elastic,25,Discount actively — high volume response
COOK,1480,2.34,41.17,Highly Elastic,25,Discount actively — high volume response
72,1714,0.7,41.147,Highly Elastic,25,Discount actively — high volume response
DOG,808,4.23,40.873,Highly Elastic,25,Discount actively — high volume response
PHOTO,1795,4.23,40.796,Highly Elastic,25,Discount actively — high volume response
RECYCLING,1621,2.97,40.64,Highly Elastic,25,Discount actively — high volume response
BLACK,5204,5.23,39.79,Highly Elastic,25,Discount actively — high volume response
PANTRY,2005,2.38,39.589,Highly Elastic,25,Discount actively — high volume response
FAWN,1249,3.51,39.248,Highly Elastic,25,Discount actively — high volume response
HAND,8807,2.42,39.103,Highly Elastic,25,Discount actively — high volume response
CHILDREN'S,853,2.25,38.276,Highly Elastic,25,Discount actively — high volume response
36,2944,1.7,37.853,Highly Elastic,25,Discount actively — high volume response
CHOCOLATE,4177,3.91,37.629,Highly Elastic,25,Discount actively — high volume response
WATERING,1925,2.22,37.159,Highly Elastic,25,Discount actively — high volume response
SET/6,5406,1.66,37.006,Highly Elastic,25,Discount actively — high volume response
PARISIENNE,896,8.96,36.497,Highly Elastic,25,Discount actively — high volume response
COFFEE,2624,2.89,35.81,Highly Elastic,25,Discount actively — high volume response
DRAWER,1159,1.85,35.754,Highly Elastic,25,Discount actively — high volume response
ROCKING,954,1.05,35.639,Highly Elastic,25,Discount actively — high volume response
GARDENERS,2262,1.84,35.516,Highly Elastic,25,Discount actively — high volume response
NATURAL,4039,3.83,34.938,Highly Elastic,25,Discount actively — high volume response
BALLOON,809,1.41,34.519,Highly Elastic,25,Discount actively — high volume response
LADIES,1151,3.05,34.208,Highly Elastic,25,Discount actively — high volume response
POPCORN,1035,1.16,34.023,Highly Elastic,25,Discount actively — high volume response
MULTI,858,1.08,33.951,Highly Elastic,25,Discount actively — high volume response
TOY,2115,2.7,33.637,Highly Elastic,25,Discount actively — high volume response
CANDLEHOLDER,639,3.19,33.572,Highly Elastic,25,Discount actively — high volume response
BUNDLE,853,1.83,33.393,Highly Elastic,25,Discount actively — high volume response
RECIPE,3748,4.09,33.041,Highly Elastic,25,Discount actively — high volume response
PLEASE,1895,2.42,32.09,Highly Elastic,25,Discount actively — high volume response
PINK,25469,3.16,31.811,Highly Elastic,25,Discount actively — high volume response
YOU'RE,819,2.2,31.763,Highly Elastic,25,Discount actively — high volume response
ICE,760,2.63,31.695,Highly Elastic,25,Discount actively — high volume response
60,4262,0.7,31.087,Highly Elastic,25,Discount actively — high volume response
PICTURE,1340,4.27,30.424,Highly Elastic,25,Discount actively — high volume response
HOME,5438,4.78,29.889,Highly Elastic,25,Discount actively — high volume response
EDWARDIAN,3472,7.34,29.698,Highly Elastic,25,Discount actively — high volume response
JUMBO,32053,2.56,29.659,Highly Elastic,25,Discount actively — high volume response
WHITE,17745,3.9,29.574,Highly Elastic,25,Discount actively — high volume response
ROLL,1238,1.51,29.18,Highly Elastic,25,Discount actively — high volume response
RETRO,6901,4.51,28.858,Highly Elastic,25,Discount actively — high volume response
ENCHANTED,665,5.17,28.627,Highly Elastic,25,Discount actively — high volume response
DOORMAT,13073,9.57,28.244,Highly Elastic,25,Discount actively — high volume response
S/4,2145,3.31,27.991,Highly Elastic,25,Discount actively — high volume response
SAVE,1304,2.16,27.569,Highly Elastic,25,Discount actively — high volume response
SET/3,2952,5.64,27.507,Highly Elastic,25,Discount actively — high volume response
HOT,5821,4.56,27.412,Highly Elastic,25,Discount actively — high volume response
FRENCH,6383,2.48,27.262,Highly Elastic,25,Discount actively — high volume response
WOODLAND,4111,1.99,26.907,Highly Elastic,25,Discount actively — high volume response
BOX,3973,4.12,26.779,Highly Elastic,25,Discount actively — high volume response
SWEETHEART,4143,6.82,25.958,Highly Elastic,25,Discount actively — high volume response
BAG,1474,0.95,25.889,Highly Elastic,25,Discount actively — high volume response
DELUXE,633,7.49,25.749,Highly Elastic,25,Discount actively — high volume response
HOMEMADE,754,1.79,25.671,Highly Elastic,25,Discount actively — high volume response
BIRD,1203,2.5,25.658,Highly Elastic,25,Discount actively — high volume response
SINGLE,1568,1.38,25.466,Highly Elastic,25,Discount actively — high volume response
LIPSTICK,1214,0.6,25.372,Highly Elastic,25,Discount actively — high volume response
ANT,745,5.18,25.362,Highly Elastic,25,Discount actively — high volume response
DINOSAUR,1501,1.8,25.206,Highly Elastic,25,Discount actively — high volume response
ROSES,1594,3.72,24.816,Highly Elastic,25,Discount actively — high volume response
GIN,2927,2.05,24.536,Highly Elastic,25,Discount actively — high volume response
CITRONELLA,946,2.05,24.507,Highly Elastic,25,Discount actively — high volume response
STRAWBERRY,8743,2.29,24.466,Highly Elastic,25,Discount actively — high volume response
RED,42202,3.92,24.041,Highly Elastic,25,Discount actively — high volume response
RECORD,577,3.84,23.924,Highly Elastic,25,Discount actively — high volume response
SET/10,2681,1.34,23.748,Highly Elastic,25,Discount actively — high volume response
LARGE,7457,4.29,23.331,Highly Elastic,25,Discount actively — high volume response
AGED,685,0.83,23.191,Highly Elastic,25,Discount actively — high volume response
CARD,5667,0.91,23.137,Highly Elastic,25,Discount actively — high volume response
BEWARE,1013,2.21,22.712,Highly Elastic,25,Discount actively — high volume response
3,5148,5.88,22.265,Highly Elastic,25,Discount actively — high volume response
DOLLY,2746,3.09,22.214,Highly Elastic,25,Discount actively — high volume response
GRAND,954,1.81,21.793,Highly Elastic,25,Discount actively — high volume response
WALL,2600,8.02,21.283,Highly Elastic,25,Discount actively — high volume response
CHARLOTTE,5131,1.15,21.141,Highly Elastic,25,Discount actively — high volume response
CHICK,932,4.62,21.116,Highly Elastic,25,Discount actively — high volume response
GREEN,7130,3.56,20.999,Highly Elastic,25,Discount actively — high volume response
PORCELAIN,1037,2.42,20.852,Highly Elastic,25,Discount actively — high volume response
POTTING,1936,2.15,20.628,Highly Elastic,25,Discount actively — high volume response
DISCO,619,1.68,20.465,Highly Elastic,25,Discount actively — high volume response
FOLKART,1415,1.46,20.437,Highly Elastic,25,Discount actively — high volume response
ENGLISH,2907,3.54,19.881,Highly Elastic,25,Discount actively — high volume response
YELLOW,1049,4.71,19.815,Highly Elastic,25,Discount actively — high volume response
CHILDRENS,4576,3.46,19.711,Highly Elastic,25,Discount actively — high volume response
ANTIQUE,4879,3.22,19.627,Highly Elastic,25,Discount actively — high volume response
MULTICOLOUR,844,2.96,19.12,Highly Elastic,25,Discount actively — high volume response
DAIRY,1265,5.07,19.018,Highly Elastic,25,Discount actively — high volume response
GLASS,6214,4.73,18.917,Highly Elastic,25,Discount actively — high volume response
GARLAND,901,3.49,18.819,Highly Elastic,25,Discount actively — high volume response
TRADITIONAL,4817,1.61,18.785,Highly Elastic,25,Discount actively — high volume response
FAMILY,1092,10.42,18.27,Highly Elastic,25,Discount actively — high volume response
CHARLIE+LOLA,1146,3.64,18.124,Highly Elastic,25,Discount actively — high volume response
SCOTTIES,507,1.76,17.863,Highly Elastic,25,Discount actively — high volume response
15CM,551,9.65,17.828,Highly Elastic,25,Discount actively — high volume response
PENNY,516,0.54,17.613,Highly Elastic,25,Discount actively — high volume response
FAIRY,3784,2.86,17.502,Highly Elastic,25,Discount actively — high volume response
FRYING,1444,5.64,17.481,Highly Elastic,25,Discount actively — high volume response
WRAP,4838,0.42,16.997,Highly Elastic,25,Discount actively — high volume response
RETROSPOT,6144,4.2,16.835,Highly Elastic,25,Discount actively — high volume response
MOROCCAN,557,3.55,16.732,Highly Elastic,25,Discount actively — high volume response
BREAD,1182,18.36,16.492,Highly Elastic,25,Discount actively — high volume response
FULL,675,5.35,16.43,Highly Elastic,25,Discount actively — high volume response
CHILDS,4669,4.29,16.392,Highly Elastic,25,Discount actively — high volume response
PIZZA,511,4.28,16.246,Highly Elastic,25,Discount actively — high volume response
JAZZ,887,0.82,15.716,Highly Elastic,25,Discount actively — high volume response
RABBIT,1217,2.65,15.265,Highly Elastic,25,Discount actively — high volume response
SEWING,508,6.83,14.726,Highly Elastic,25,Discount actively — high volume response
SMALL,13188,1.9,14.676,Highly Elastic,25,Discount actively — high volume response
MANUAL,881,725.04,14.393,Highly Elastic,25,Discount actively — high volume response
FOLDING,1295,4.0,14.176,Highly Elastic,25,Discount actively — high volume response
CHILLI,1184,6.6,14.083,Highly Elastic,25,Discount actively — high volume response
ASSORTED,9397,2.23,14.076,Highly Elastic,25,Discount actively — high volume response
BLUE,16873,3.19,14.049,Highly Elastic,25,Discount actively — high volume response
JINGLE,826,2.1,13.748,Highly Elastic,25,Discount actively — high volume response
ROTATING,1369,3.51,13.731,Highly Elastic,25,Discount actively — high volume response
IVORY,6015,4.91,13.693,Highly Elastic,25,Discount actively — high volume response
WOVEN,693,4.39,13.674,Highly Elastic,25,Discount actively — high volume response
BROCADE,545,0.37,13.659,Highly Elastic,25,Discount actively — high volume response
UNION,1871,4.2,13.433,Highly Elastic,25,Discount actively — high volume response
SCOTTIE,2149,5.23,13.411,Highly Elastic,25,Discount actively — high volume response
EASTER,2252,2.21,13.34,Highly Elastic,25,Discount actively — high volume response
ORIGAMI,737,2.61,13.086,Highly Elastic,25,Discount actively — high volume response
PARTY,7244,2.9,12.876,Highly Elastic,25,Discount actively — high volume response
SPACEBOY,4603,2.34,12.778,Highly Elastic,25,Discount actively — high volume response
ENAMEL,4242,7.34,12.768,Highly Elastic,25,Discount actively — high volume response
WICKER,1491,2.3,12.617,Highly Elastic,25,Discount actively — high volume response
LOVE,4020,7.12,12.555,Highly Elastic,25,Discount actively — high volume response
MIRROR,618,5.35,12.516,Highly Elastic,25,Discount actively — high volume response
GINGHAM,1652,3.5,12.34,Highly Elastic,25,Discount actively — high volume response
GUMBALL,1734,4.29,12.314,Highly Elastic,25,Discount actively — high volume response
HANGING,9254,1.74,12.314,Highly Elastic,25,Discount actively — high volume response
TROPICAL,593,2.72,12.309,Highly Elastic,25,Discount actively — high volume response
SET/4,2592,8.08,12.188,Highly Elastic,25,Discount actively — high volume response
20,539,1.49,12.119,Highly Elastic,25,Discount actively — high volume response
CHERRY,1235,3.97,12.001,Highly Elastic,25,Discount actively — high volume response
TRIPLE,617,7.13,11.933,Highly Elastic,25,Discount actively — high volume response
GREY,1443,4.21,11.874,Highly Elastic,25,Discount actively — high volume response
PAPER,10879,3.51,11.632,Highly Elastic,25,Discount actively — high volume response
SILVER,4199,4.09,11.594,Highly Elastic,25,Discount actively — high volume response
KNITTED,1209,4.89,11.2,Highly Elastic,25,Discount actively — high volume response
FIRST,839,3.32,10.829,Highly Elastic,25,Discount actively — high volume response
FLORAL,996,3.77,10.647,Highly Elastic,25,Discount actively — high volume response
GIANT,511,5.76,10.099,Highly Elastic,25,Discount actively — high volume response
T-LIGHT,1175,1.89,9.882,Highly Elastic,25,Discount actively — high volume response
MINI,6052,1.26,9.452,Highly Elastic,25,Discount actively — high volume response
TV,667,6.22,9.368,Highly Elastic,25,Discount actively — high volume response
HEART,12430,2.11,9.196,Highly Elastic,25,Discount actively — high volume response
PURPLE,1185,3.42,9.092,Highly Elastic,25,Discount actively — high volume response
SKULL,2106,3.24,8.695,Highly Elastic,25,Discount actively — high volume response
NO,1721,2.22,8.639,Highly Elastic,25,Discount actively — high volume response
DOOR,5537,9.5,8.295,Highly Elastic,25,Discount actively — high volume response
LAVENDER,910,1.65,8.204,Highly Elastic,25,Discount actively — high volume response
OFFICE,1035,4.69,7.902,Highly Elastic,25,Discount actively — high volume response
WORLD,1043,0.32,7.852,Highly Elastic,25,Discount actively — high volume response
RAIN,766,1.03,7.796,Highly Elastic,25,Discount actively — high volume response
CALENDAR,778,3.35,7.786,Highly Elastic,25,Discount actively — high volume response
COWBOYS,636,0.52,7.746,Highly Elastic,25,Discount actively — high volume response
SET/2,1002,4.9,7.735,Highly Elastic,25,Discount actively — high volume response
CAKE,2770,8.58,7.543,Highly Elastic,25,Discount actively — high volume response
METAL,5316,3.43,7.531,Highly Elastic,25,Discount actively — high volume response
DOORSTOP,1043,4.44,7.223,Highly Elastic,25,Discount actively — high volume response
CHRISTMAS,11942,2.18,7.087,Highly Elastic,25,Discount actively — high volume response
SKULLS,3470,1.51,6.752,Highly Elastic,25,Discount actively — high volume response
ROSE,2563,5.92,6.692,Highly Elastic,25,Discount actively — high volume response
PICNIC,2106,10.66,6.511,Highly Elastic,25,Discount actively — high volume response
FUNKY,1277,2.46,6.446,Highly Elastic,25,Discount actively — high volume response
MILK,1004,5.33,6.442,Highly Elastic,25,Discount actively — high volume response
WOODEN,13508,5.31,6.429,Highly Elastic,25,Discount actively — high volume response
CHARLIE,2237,4.33,6.285,Highly Elastic,25,Discount actively — high volume response
CLOTHES,1256,1.91,6.278,Highly Elastic,25,Discount actively — high volume response
MINT,1052,8.48,6.118,Highly Elastic,25,Discount actively — high volume response
MAKE,893,3.52,6.09,Highly Elastic,25,Discount actively — high volume response
BEADED,1601,1.47,6.061,Highly Elastic,25,Discount actively — high volume response
STAR,1682,1.41,5.922,Highly Elastic,25,Discount actively — high volume response
FELT,1857,1.32,5.847,Highly Elastic,25,Discount actively — high volume response
EGG,958,2.06,5.772,Highly Elastic,25,Discount actively — high volume response
GOLD,1118,4.22,5.748,Highly Elastic,25,Discount actively — high volume response
COSY,1316,2.59,5.672,Highly Elastic,25,Discount actively — high volume response
ADVENT,513,6.53,5.453,Highly Elastic,25,Discount actively — high volume response
SUKI,948,2.52,5.365,Highly Elastic,25,Discount actively — high volume response
COLOURING,694,1.28,5.239,Highly Elastic,25,Discount actively — high volume response
MODERN,601,2.69,5.151,Highly Elastic,25,Discount actively — high volume response
NOEL,663,5.61,5.133,Highly Elastic,25,Discount actively — high volume response
PEACE,544,7.26,5.091,Highly Elastic,25,Discount actively — high volume response
CLEAR,801,1.82,5.087,Highly Elastic,25,Discount actively — high volume response
DINOSAURS,786,1.87,5.026,Highly Elastic,25,Discount actively — high volume response
DANISH,606,6.21,5.016,Highly Elastic,25,Discount actively — high volume response
EMPIRE,1423,2.22,5.01,Highly Elastic,25,Discount actively — high volume response
MOODY,587,1.84,5.005,Highly Elastic,25,Discount actively — high volume response
SILK,795,3.71,4.853,Highly Elastic,25,Discount actively — high volume response
BROWN,885,5.03,4.827,Highly Elastic,25,Discount actively — high volume response
BALLOONS,685,2.31,4.77,Highly Elastic,25,Discount actively — high volume response
MONEY,993,1.48,4.764,Highly Elastic,25,Discount actively — high volume response
CANDY,1208,3.61,4.755,Highly Elastic,25,Discount actively — high volume response
CIRCUS,969,3.63,4.451,Highly Elastic,25,Discount actively — high volume response
LETTER,1395,1.58,4.288,Highly Elastic,25,Discount actively — high volume response
OWL,552,8.42,4.244,Highly Elastic,25,Discount actively — high volume response
GLITTER,2555,2.6,4.221,Highly Elastic,25,Discount actively — high volume response
MEASURING,609,3.15,4.051,Highly Elastic,25,Discount actively — high volume response
DECORATION,1383,1.51,4.049,Highly Elastic,25,Discount actively — high volume response
WOOD,5403,6.36,4.048,Highly Elastic,25,Discount actively — high volume response
4,2655,2.65,4.037,Highly Elastic,25,Discount actively — high volume response
SWISS,629,3.15,3.94,Highly Elastic,25,Discount actively — high volume response
SCANDINAVIAN,1786,2.02,3.855,Highly Elastic,25,Discount actively — high volume response
6,4949,2.53,3.525,Highly Elastic,25,Discount actively — high volume response
ENVELOPE,633,0.85,3.512,Highly Elastic,25,Discount actively — high volume response
POTTERING,1828,2.54,3.362,Highly Elastic,25,Discount actively — high volume response
NUMBER,776,3.69,3.323,Highly Elastic,25,Discount actively — high volume response
TOAST,1408,1.54,3.291,Highly Elastic,25,Discount actively — high volume response
MIRRORED,971,4.97,3.027,Highly Elastic,25,Discount actively — high volume response
SWALLOW,824,1.36,3.0,Highly Elastic,25,Discount actively — high volume response
HEARTS,524,0.97,2.729,Highly Elastic,25,Discount actively — high volume response
BIRDHOUSE,628,1.64,2.674,Highly Elastic,25,Discount actively — high volume response
WASHROOM,819,1.75,2.389,Highly Elastic,25,Discount actively — high volume response
LAUNDRY,771,1.89,2.343,Highly Elastic,25,Discount actively — high volume response
CINAMMON,600,2.2,2.305,Highly Elastic,25,Discount actively — high volume response
I,961,3.06,2.272,Highly Elastic,25,Discount actively — high volume response
FIVE,580,3.73,1.963,Highly Elastic,25,Discount actively — high volume response
DECORATIVE,1727,2.98,1.927,Highly Elastic,25,Discount actively — high volume response
FEATHER,927,1.03,1.813,Highly Elastic,25,Discount actively — high volume response
AIRLINE,2527,5.04,1.514,Highly Elastic,25,Discount actively — high volume response
POLKADOT,852,2.69,1.506,Highly Elastic,25,Discount actively — high volume response
ASSTD,1055,0.97,1.429,Elastic,15,Discount selectively — moderate response
MAGNETS,1661,1.39,1.316,Elastic,15,Discount selectively — moderate response
JIGSAW,835,1.73,1.313,Elastic,15,Discount selectively — moderate response
PAINTED,1944,1.68,0.982,Moderately Inelastic,10,Discount with caution — limited response
PENS,671,0.87,0.912,Moderately Inelastic,10,Discount with caution — limited response
BOTANICAL,635,3.27,0.508,Moderately Inelastic,10,Discount with caution — limited response
FANCY,1348,0.86,0.421,Inelastic,0,"Avoid discounting — margin loss, minimal volume gain"
DIAMANTE,658,7.74,0.332,Inelastic,0,"Avoid discounting — margin loss, minimal volume gain"
BUNNY,926,1.05,0.306,Inelastic,0,"Avoid discounting — margin loss, minimal volume gain"
POSTAGE,1886,32.57,0.168,Inelastic,0,"Avoid discounting — margin loss, minimal volume gain"
DOTCOM,1436,372.47,0.0,Inelastic,0,"Avoid discounting — margin loss, minimal volume gain"
